Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment
R,2021-06-28,11:11:00,2021-06-28,11:38:00,37,27,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-28,10:25:00,2021-06-28,10:34:00,12,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-28,10:04:00,2021-06-28,10:13:00,9,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-28,09:50:00,2021-06-28,09:55:00,46,5,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-06-28,08:55:00,2021-06-28,09:04:00,27,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-28,08:25:00,2021-06-28,09:34:00,16,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-28,08:03:00,2021-06-28,08:28:00,43,25,Machine Stopped by Operator,,,,,,
R,2021-06-28,08:00:00,2021-06-28,08:09:00,40,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-28,07:00:00,2021-06-28,07:20:00,2555,20,Machine Stopped by Operator,Planned Stop,,,,,
R,2021-06-26,12:16:00,2021-06-26,12:25:00,245,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-26,08:02:00,2021-06-26,08:11:00,23,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-26,07:35:00,2021-06-26,07:39:00,35,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-26,07:00:00,2021-06-28,07:00:00,0,2880,Machine Stopped by Operator,Planned Stop,Schedule Complete,,,,
R,2021-06-26,06:50:00,2021-06-26,07:00:00,222,10,Machine Stopped by Operator,Planned Stop,,,,,
R,2021-06-26,02:55:00,2021-06-26,03:08:00,32,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-26,02:10:00,2021-06-26,02:23:00,8,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-26,00:40:00,2021-06-26,02:02:00,172,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-25,21:26:00,2021-06-25,21:48:00,11,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-25,21:04:00,2021-06-25,21:15:00,111,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-25,18:51:00,2021-06-25,19:13:00,22,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-25,18:16:00,2021-06-25,18:29:00,6,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-25,17:57:00,2021-06-25,18:10:00,62,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-25,17:43:00,2021-06-25,18:14:00,48,31,Machine Stopped by Operator,,,,,,
R,2021-06-25,16:42:00,2021-06-25,16:55:00,12,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-25,16:12:00,2021-06-25,16:30:00,159,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-25,15:55:00,2021-06-25,17:21:00,142,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-25,12:40:00,2021-06-25,13:33:00,46,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-25,11:41:00,2021-06-25,11:54:00,56,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-25,10:36:00,2021-06-25,10:45:00,109,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-25,08:03:00,2021-06-25,08:47:00,94,44,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-06-25,06:16:00,2021-06-25,06:29:00,34,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-25,05:31:00,2021-06-25,05:42:00,30,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-25,04:48:00,2021-06-25,05:01:00,108,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-25,02:55:00,2021-06-25,03:00:00,12,5,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-06-25,02:30:00,2021-06-25,02:43:00,7,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-25,02:10:00,2021-06-25,02:23:00,15,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-25,00:40:00,2021-06-25,01:55:00,20,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-25,00:07:00,2021-06-25,00:20:00,94,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-25,00:02:00,2021-06-25,00:26:00,89,24,Machine Stopped by Operator,,,,,,
R,2021-06-24,22:38:00,2021-06-25,01:15:00,5,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-06-24,21:26:00,2021-06-24,22:33:00,26,67,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-06-24,21:26:00,2021-06-24,21:50:00,26,24,Machine Stopped by Operator,,,,,,
R,2021-06-24,20:51:00,2021-06-24,21:00:00,111,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-24,20:43:00,2021-06-24,21:45:00,103,62,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-06-24,18:51:00,2021-06-24,19:00:00,50,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-24,17:43:00,2021-06-24,18:01:00,47,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-24,16:12:00,2021-06-24,16:56:00,117,44,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-06-24,16:02:00,2021-06-24,17:11:00,107,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-06-24,15:00:00,2021-06-24,18:11:00,45,191,Machine Stopped by Operator,PSG Machine,Horizontal Sealing,Front heating element,Broken heating element cable,,
R,2021-06-24,13:55:00,2021-06-24,14:15:00,16,20,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-06-24,13:51:00,2021-06-24,14:04:00,12,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-24,13:26:00,2021-06-24,13:39:00,37,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-06-24,12:40:00,2021-06-24,12:49:00,54,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-24,12:40:00,2021-06-24,15:15:00,54,155,Machine Stopped by Operator,Planned Stop,CIL,Machine frame,,,
R,2021-06-24,11:37:00,2021-06-24,11:46:00,8,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-06-24,11:11:00,2021-06-24,11:29:00,49,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-24,10:04:00,2021-06-24,10:22:00,111,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-06-24,08:03:00,2021-06-24,10:40:00,63,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
