Machine,Start_date,Start_time,End_date,End_time,Uptime,Downtime,Fault,Stops_classification,Transformation,Component,Failure_mode,Stop_classification,Comment 
R,2021-03-05,00:02:00,2021-03-05,00:33:00,92,31,Machine Stopped by Operator,,,,,,
R,2021-03-04,21:26:00,2021-03-04,22:30:00,65,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-04,18:55:00,2021-03-04,20:21:00,59,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-04,18:51:00,2021-03-04,19:42:00,55,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-03-04,18:42:00,2021-03-04,19:00:00,46,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-04,17:43:00,2021-03-04,17:56:00,156,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-04,14:56:00,2021-03-04,15:07:00,188,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-04,13:55:00,2021-03-04,15:11:00,127,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-04,11:37:00,2021-03-04,11:48:00,75,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-04,11:11:00,2021-03-04,12:15:00,49,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-04,11:11:00,2021-03-04,14:59:00,49,228,Horizontal Jaw electric current limit.,Electrical System,Control System,PLC,,,Communication loss between PLC and extraction belt
R,2021-03-04,10:04:00,2021-03-04,10:22:00,112,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-04,08:03:00,2021-03-04,08:12:00,86,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-04,06:32:00,2021-03-04,06:37:00,8,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-04,06:13:00,2021-03-04,06:24:00,187,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-04,02:55:00,2021-03-04,03:06:00,71,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-04,02:10:00,2021-03-04,03:32:00,26,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-04,01:35:00,2021-03-04,01:44:00,25,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-04,01:05:00,2021-03-04,01:10:00,17,5,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-03-04,00:02:00,2021-03-04,00:48:00,75,46,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-03,22:38:00,2021-03-03,22:47:00,63,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-03,21:26:00,2021-03-03,21:35:00,86,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-03,20:43:00,2021-03-03,22:05:00,43,82,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-03-03,20:43:00,2021-03-03,22:32:00,43,109,Machine Stopped by Operator,Planned Stop,CIL,Vertical sealing,,,
R,2021-03-03,19:49:00,2021-03-03,20:00:00,5,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-03,19:26:00,2021-03-04,00:26:00,59,300,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-03-03,18:51:00,2021-03-03,19:44:00,24,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-03-03,17:43:00,2021-03-03,18:27:00,73,44,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-03-03,17:25:00,2021-03-03,18:47:00,55,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-03,16:12:00,2021-03-03,16:30:00,96,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-03,16:12:00,2021-03-03,17:12:00,96,60,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-03-03,14:18:00,2021-03-03,14:36:00,10,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-03,13:55:00,2021-03-03,14:08:00,118,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-03,12:40:00,2021-03-03,18:15:00,43,335,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-03-03,11:11:00,2021-03-03,11:57:00,28,46,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-03-03,10:34:00,2021-03-03,10:43:00,138,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-03,10:04:00,2021-03-03,10:50:00,108,46,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-03,08:03:00,2021-03-03,08:16:00,143,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-03,05:22:00,2021-03-03,05:40:00,84,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-03,03:53:00,2021-03-03,03:58:00,85,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-03,02:10:00,2021-03-03,02:28:00,22,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-03,01:35:00,2021-03-03,01:48:00,84,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-03,00:40:00,2021-03-03,02:02:00,29,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-03,00:02:00,2021-03-03,00:11:00,71,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-02,22:38:00,2021-03-02,22:51:00,41,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-02,21:26:00,2021-03-02,21:57:00,190,31,Machine Stopped by Operator,,,,,,
R,2021-03-02,20:43:00,2021-03-02,21:32:00,147,49,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-03-02,19:26:00,2021-03-03,00:26:00,70,300,Machine Stopped by Operator,Planned Stop,CIL,Fischbein,,,
R,2021-03-02,17:01:00,2021-03-02,18:16:00,3,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-02,16:49:00,2021-03-02,16:58:00,153,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-02,16:12:00,2021-03-02,17:19:00,116,67,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-03-02,16:12:00,2021-03-02,21:58:00,116,346,Machine Stopped by Operator,Planned Stop,CIL,Main conveyor,,,
R,2021-03-02,14:03:00,2021-03-02,14:16:00,21,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-02,13:24:00,2021-03-02,13:42:00,86,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-02,12:40:00,2021-03-02,14:46:00,42,126,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-02,11:53:00,2021-03-02,11:58:00,20,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-02,11:11:00,2021-03-02,11:33:00,36,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-02,10:04:00,2021-03-02,10:35:00,112,31,Machine Stopped by Operator,,,,,,
R,2021-03-02,08:03:00,2021-03-02,08:12:00,82,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-02,08:00:00,2021-03-02,08:11:00,79,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-02,06:32:00,2021-03-02,06:41:00,206,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-02,02:55:00,2021-03-02,03:06:00,38,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-02,02:10:00,2021-03-02,02:17:00,26,7,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-03-02,01:35:00,2021-03-02,01:44:00,26,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-02,01:05:00,2021-03-02,02:14:00,3,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-02,00:02:00,2021-03-02,01:09:00,20,67,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-03-01,23:40:00,2021-03-02,01:02:00,62,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-01,22:38:00,2021-03-01,23:42:00,0,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-01,22:27:00,2021-03-01,22:38:00,86,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-01,21:26:00,2021-03-01,22:48:00,25,82,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-03-01,20:43:00,2021-03-01,21:01:00,111,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-01,18:51:00,2021-03-01,22:39:00,46,228,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-03-01,18:43:00,2021-03-01,18:52:00,38,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-01,17:43:00,2021-03-01,18:05:00,73,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-01,17:43:00,2021-03-01,18:07:00,73,24,Machine Stopped by Operator,,,,,,
R,2021-03-01,16:12:00,2021-03-01,16:30:00,36,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-01,16:12:00,2021-03-01,17:30:00,36,78,Machine Stopped by Operator,Planned Stop,CIL,Spillage hopper,,,
R,2021-03-01,15:23:00,2021-03-01,15:36:00,64,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-01,13:55:00,2021-03-01,14:19:00,22,24,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-03-01,12:40:00,2021-03-01,13:33:00,76,53,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-03-01,11:11:00,2021-03-01,11:24:00,11,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-01,10:47:00,2021-03-01,11:00:00,21,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-01,10:04:00,2021-03-01,10:26:00,9,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-03-01,10:04:00,2021-03-01,16:48:00,9,404,Machine Stopped by Operator,Planned Stop,CIL,Dosing unit,,,
R,2021-03-01,09:50:00,2021-03-01,09:55:00,46,5,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-03-01,08:55:00,2021-03-01,09:04:00,44,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-03-01,08:25:00,2021-03-01,09:40:00,14,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-03-01,08:03:00,2021-03-01,09:07:00,43,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-03-01,08:00:00,2021-03-01,08:11:00,40,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-03-01,07:00:00,2021-03-01,07:20:00,2880,20,Machine Stopped by Operator,Planned Stop,,,,,
R,2021-02-27,07:00:00,2021-03-01,07:00:00,0,2880,Machine Stopped by Operator,Planned Stop,Schedule Complete,,,,
R,2021-02-27,06:50:00,2021-02-27,07:00:00,121,10,Machine Stopped by Operator,Planned Stop,,,,,
R,2021-02-27,04:38:00,2021-02-27,04:49:00,50,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-27,03:35:00,2021-02-27,03:48:00,47,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-27,02:55:00,2021-02-27,04:10:00,7,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-27,02:35:00,2021-02-27,02:48:00,21,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-27,02:10:00,2021-02-27,02:14:00,26,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-27,01:35:00,2021-02-27,01:44:00,75,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-27,00:02:00,2021-02-27,00:20:00,66,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-26,22:38:00,2021-02-26,22:56:00,39,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-26,21:26:00,2021-02-26,22:42:00,123,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-26,20:43:00,2021-02-26,21:59:00,80,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-26,19:10:00,2021-02-26,19:23:00,114,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-26,18:32:00,2021-02-26,19:41:00,76,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-26,16:12:00,2021-02-26,17:16:00,10,64,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-26,15:53:00,2021-02-26,16:02:00,69,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-26,13:55:00,2021-02-26,14:44:00,44,49,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-02-26,12:40:00,2021-02-26,13:11:00,120,31,Machine Stopped by Operator,,,,,,
R,2021-02-26,10:22:00,2021-02-26,10:40:00,72,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-26,09:06:00,2021-02-26,09:10:00,41,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-26,08:03:00,2021-02-26,08:25:00,12,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-26,07:47:00,2021-02-26,07:51:00,139,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-26,05:17:00,2021-02-26,05:28:00,127,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-26,03:05:00,2021-02-26,03:10:00,42,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-26,02:30:00,2021-02-26,03:45:00,7,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-26,02:10:00,2021-02-26,02:23:00,26,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-26,01:35:00,2021-02-26,01:44:00,80,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-26,00:02:00,2021-02-26,00:15:00,147,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-25,22:38:00,2021-02-26,00:27:00,63,109,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-25,21:26:00,2021-02-25,21:35:00,19,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-25,20:43:00,2021-02-25,21:07:00,81,24,Machine Stopped by Operator,,,,,,
R,2021-02-25,19:33:00,2021-02-25,20:55:00,11,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-25,18:51:00,2021-02-25,19:22:00,59,31,Machine Stopped by Operator,,,,,,
R,2021-02-25,17:43:00,2021-02-25,17:52:00,29,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-25,16:12:00,2021-02-25,17:14:00,128,62,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-02-25,13:55:00,2021-02-25,14:04:00,116,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-25,11:46:00,2021-02-25,11:59:00,114,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-25,11:11:00,2021-02-25,13:48:00,79,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-25,11:00:00,2021-02-25,11:55:00,68,55,Machine Stopped by Operator,Conveyor System,Main Conveyor,,,,Product trapped between main and inclined conveyors
R,2021-02-25,08:03:00,2021-02-25,09:52:00,177,109,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-25,08:00:00,2021-02-25,08:11:00,174,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-25,04:55:00,2021-02-25,05:06:00,23,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-25,04:19:00,2021-02-25,04:32:00,9,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-25,02:55:00,2021-02-25,04:10:00,41,75,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-25,02:05:00,2021-02-25,02:14:00,17,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-25,01:35:00,2021-02-25,01:48:00,51,13,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-25,00:40:00,2021-02-25,00:44:00,16,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-25,00:02:00,2021-02-25,00:24:00,20,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-24,22:38:00,2021-02-25,00:44:00,93,126,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-24,22:38:00,2021-02-24,23:42:00,93,64,Machine Stopped by Operator,Pack Material,Polyfilm OOS,Ink stain,Specify in comment,,
R,2021-02-24,20:43:00,2021-02-24,21:05:00,63,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-24,18:51:00,2021-02-24,19:40:00,6,49,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-02-24,18:34:00,2021-02-24,18:45:00,156,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-24,17:44:00,2021-02-24,18:53:00,106,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-24,15:49:00,2021-02-24,15:58:00,89,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-24,13:55:00,2021-02-24,14:20:00,53,25,Machine Stopped by Operator,,,,,,
R,2021-02-24,12:40:00,2021-02-24,13:02:00,78,22,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-24,11:13:00,2021-02-24,11:22:00,36,9,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-24,11:11:00,2021-02-24,11:24:00,34,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-24,10:24:00,2021-02-24,10:37:00,7,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-24,10:04:00,2021-02-24,10:17:00,119,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-24,08:03:00,2021-02-24,11:51:00,136,228,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-24,07:54:00,2021-02-24,08:05:00,127,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-24,05:34:00,2021-02-24,05:47:00,75,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-24,04:15:00,2021-02-24,04:19:00,94,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-24,02:30:00,2021-02-24,02:41:00,20,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-24,02:06:00,2021-02-24,02:10:00,81,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-24,01:35:00,2021-02-24,02:57:00,50,82,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-24,00:40:00,2021-02-24,00:45:00,29,5,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-24,00:02:00,2021-02-24,00:11:00,123,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-24,00:02:00,2021-02-24,01:09:00,123,67,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-02-23,22:38:00,2021-02-24,01:15:00,39,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-23,21:26:00,2021-02-24,03:01:00,205,335,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-23,20:43:00,2021-02-23,21:59:00,162,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-23,18:51:00,2021-02-23,21:28:00,50,157,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-23,17:43:00,2021-02-23,18:01:00,82,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-23,17:43:00,2021-02-23,18:07:00,82,24,Machine Stopped by Operator,,,,,,
R,2021-02-23,16:12:00,2021-02-23,16:21:00,107,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-23,15:39:00,2021-02-23,19:36:00,74,237,Machine Stopped by Operator,Planned Stop,CIL,Inclined conveyor,,,
R,2021-02-23,14:21:00,2021-02-23,14:25:00,13,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-23,14:12:00,2021-02-23,15:21:00,4,69,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-23,13:55:00,2021-02-23,14:08:00,24,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-23,13:45:00,2021-02-23,14:03:00,14,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-23,12:40:00,2021-02-23,13:31:00,24,51,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-02-23,12:40:00,2021-02-23,13:26:00,24,46,Machine Stopped by Operator,Planned Stop,Changeover,Brand Changeover,State SKU in comment,,
R,2021-02-23,12:07:00,2021-02-23,12:16:00,43,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-23,11:11:00,2021-02-23,11:24:00,140,13,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-23,11:11:00,2021-02-23,17:06:00,140,355,Machine Stopped by Operator,Planned Stop,CIL,Main conveyor,,,
R,2021-02-23,10:04:00,2021-02-23,11:20:00,73,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-23,08:33:00,2021-02-23,08:51:00,74,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-23,08:03:00,2021-02-23,09:19:00,44,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-23,07:06:00,2021-02-23,07:19:00,75,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-23,05:42:00,2021-02-23,05:51:00,3,9,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-23,05:21:00,2021-02-23,05:39:00,60,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-23,04:17:00,2021-02-23,04:21:00,77,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-23,02:55:00,2021-02-23,03:00:00,21,5,Coder Fault,Planned Stop,Changeover,Ribbon Changeover,,,
R,2021-02-23,02:30:00,2021-02-23,02:34:00,44,4,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-23,01:35:00,2021-02-23,01:46:00,18,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-23,01:06:00,2021-02-23,01:17:00,55,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-23,00:40:00,2021-02-23,02:06:00,29,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-23,00:02:00,2021-02-23,00:11:00,147,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-22,22:58:00,2021-02-23,00:24:00,83,86,Machine Stopped by Operator,Planned Stop,RLS,Shiftly RLS,,,
R,2021-02-22,22:38:00,2021-02-23,02:26:00,63,228,End Product,BFS,No Powder Supply,Starvation from MSG,,,
R,2021-02-22,21:26:00,2021-02-22,21:35:00,79,9,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-22,21:26:00,2021-02-22,22:12:00,79,46,Photoeye Fault,DCS,Low Suction,Partial blockage on DCS line,,,
R,2021-02-22,20:43:00,2021-02-22,21:45:00,36,62,Machine Stopped by Operator,Planned Stop,CIL,Triverter,,,
R,2021-02-22,20:43:00,2021-02-23,00:07:00,36,204,Machine Stopped by Operator,Planned Stop,CIL,Forming set,,,
R,2021-02-22,18:51:00,2021-02-22,20:07:00,50,76,Photoeye Fault,PSG Machine,Bag Forming,Forming set,Contamination on formingset wall,,film jam on forming set
R,2021-02-22,18:51:00,2021-02-22,19:44:00,50,53,Photoeye Fault,PSG Machine,Pulling,Photocell,Photocell lost calibration,,
R,2021-02-22,17:43:00,2021-02-22,18:01:00,44,18,End Product,BFS,No Powder Supply,Buggy not opened on time,Contractor indiscipline,,
R,2021-02-22,17:43:00,2021-02-22,23:36:00,44,353,Machine Stopped by Operator,Planned Stop,CIL,Dosing unit,,,
R,2021-02-22,17:43:00,2021-02-22,19:52:00,44,129,Machine Stopped by Operator,Planned Stop,CIL,Packing conveyor,,,
R,2021-02-22,17:36:00,2021-02-22,17:54:00,37,18,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-22,16:46:00,2021-02-22,16:59:00,10,13,Photoeye Fault,Planned Stop,Pack Material,Manufacturer Splice,,,
R,2021-02-22,16:12:00,2021-02-22,16:36:00,104,24,Machine Stopped by Operator,,,,,,
R,2021-02-22,14:17:00,2021-02-22,14:28:00,66,11,End Of Film,Planned Stop,Changeover,Reel Changeover,,,
R,2021-02-22,13:55:00,2021-02-22,14:19:00,44,24,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-02-22,12:40:00,2021-02-22,13:11:00,31,31,Machine Stopped by Operator,Planned Stop,Changeover,Size Changeover,State SKU in comment,,
R,2021-02-22,12:40:00,2021-02-22,13:02:00,31,22,Machine Stopped by Operator,,,,,,
R,2021-02-22,12:40:00,2021-02-22,13:26:00,31,46,Machine Stopped by Operator,End Of Line,Secondary Coding- Domino,Print head system,Blockage in printhead,,
